LSOA_code,LSOA_name,LAD_code,LAD_name,ITL1_code,Transaction,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
E01013810,Nottingham 018A,E06000018,Nottingham,TLF,Operating_surplus,1.601,1.640,1.598,1.716,1.811,1.658,1.700,1.531,1.329,1.319,1.462,1.415,1.586,1.660,1.803,1.837,2.000,2.035,2.158,2.275
E01013810,Nottingham 018A,E06000018,Nottingham,TLF,Mixed_income,0.931,0.942,0.941,0.988,1.057,1.061,1.064,1.116,1.194,1.224,1.608,1.768,1.756,1.836,1.904,2.185,2.343,2.504,2.587,2.681
E01013810,Nottingham 018A,E06000018,Nottingham,TLF,Compensation_of_employees,8.153,8.589,8.817,9.199,9.664,10.057,10.473,10.166,10.031,10.084,10.335,11.475,11.666,12.252,12.571,13.328,14.047,14.792,15.264,16.070
E01013810,Nottingham 018A,E06000018,Nottingham,TLF,"Property_income,_received",1.230,1.120,1.224,1.363,1.345,1.541,1.454,1.170,1.170,1.201,1.140,1.224,1.284,1.494,1.222,1.303,1.268,1.328,1.106,1.482
E01013810,Nottingham 018A,E06000018,Nottingham,TLF,Primary_resources_total,11.915,12.291,12.580,13.265,13.878,14.317,14.692,13.984,13.724,13.829,14.546,15.882,16.292,17.242,17.500,18.652,19.658,20.659,21.115,22.508
E01013810,Nottingham 018A,E06000018,Nottingham,TLF,"Property_income,_paid",0.567,0.605,0.727,0.897,1.053,1.020,1.205,0.489,0.293,0.286,0.311,0.305,0.315,0.309,0.333,0.296,0.450,0.353,0.219,0.272
E01013810,Nottingham 018A,E06000018,Nottingham,TLF,Primary_uses_total,0.567,0.605,0.727,0.897,1.053,1.020,1.205,0.489,0.293,0.286,0.311,0.305,0.315,0.309,0.333,0.296,0.450,0.353,0.219,0.272
E01013810,Nottingham 018A,E06000018,Nottingham,TLF,Balance_of_primary_incomes,11.348,11.686,11.853,12.368,12.825,13.297,13.487,13.495,13.431,13.543,14.235,15.577,15.976,16.933,17.167,18.356,19.208,20.306,20.895,22.236
E01013810,Nottingham 018A,E06000018,Nottingham,TLF,Imputed_social_contributions/Social_benefits_received,3.627,3.871,3.914,4.066,4.272,4.542,4.829,5.394,5.615,5.601,6.543,6.208,6.603,6.986,7.784,7.629,7.659,7.661,7.465,6.709
E01013810,Nottingham 018A,E06000018,Nottingham,TLF,"Other_current_transfers,_received",0.338,0.365,0.369,0.401,0.278,0.435,0.419,0.358,0.308,0.418,0.528,0.480,0.535,0.506,0.500,0.527,0.581,0.587,0.575,0.482
E01013810,Nottingham 018A,E06000018,Nottingham,TLF,Secondary_resources_total,3.965,4.236,4.283,4.467,4.550,4.977,5.248,5.752,5.924,6.018,7.071,6.688,7.138,7.492,8.284,8.157,8.240,8.249,8.040,7.191
E01013810,Nottingham 018A,E06000018,Nottingham,TLF,"Current_taxes_on_income,_wealth_etc",1.534,1.639,1.631,1.713,1.805,1.929,2.071,2.067,2.065,2.076,2.037,2.113,2.011,2.093,2.019,2.105,2.039,2.116,2.028,2.467
E01013810,Nottingham 018A,E06000018,Nottingham,TLF,Social_contributions/Social_benefits_paid,1.256,1.197,1.323,1.449,1.462,1.525,1.477,1.309,1.377,1.450,1.329,1.468,0.749,1.764,1.547,1.594,1.671,1.613,1.660,1.964
E01013810,Nottingham 018A,E06000018,Nottingham,TLF,"Other_current_transfers,_paid",0.489,0.553,0.581,0.632,0.510,0.653,0.663,0.654,0.641,0.689,0.739,0.747,0.815,0.793,0.822,0.855,0.842,0.858,0.868,0.823
E01013810,Nottingham 018A,E06000018,Nottingham,TLF,Secondary_uses_total,3.280,3.389,3.536,3.793,3.776,4.106,4.211,4.031,4.083,4.215,4.104,4.328,3.575,4.650,4.388,4.554,4.552,4.587,4.556,5.254
E01013810,Nottingham 018A,E06000018,Nottingham,TLF,Balance_of_secondary_income,0.685,0.846,0.747,0.675,0.774,0.870,1.037,1.721,1.841,1.803,2.966,2.360,3.563,2.842,3.896,3.602,3.688,3.662,3.484,1.937
E01013810,Nottingham 018A,E06000018,Nottingham,TLF,Gross_Disposable_Household_Income,12.033,12.532,12.600,13.043,13.599,14.167,14.523,15.216,15.272,15.346,17.201,17.937,19.539,19.775,21.063,21.959,22.895,23.968,24.379,24.173
E01013811,Nottingham 018B,E06000018,Nottingham,TLF,Operating_surplus,1.502,1.489,1.428,1.560,1.646,1.533,1.597,1.439,1.248,1.239,1.375,1.331,1.491,1.586,1.723,1.754,1.911,1.944,2.061,2.173
E01013811,Nottingham 018B,E06000018,Nottingham,TLF,Mixed_income,1.135,1.138,1.110,1.150,1.215,1.229,1.209,1.232,1.347,1.382,1.651,1.871,1.847,1.969,2.031,2.335,2.398,2.529,2.619,2.728
E01013811,Nottingham 018B,E06000018,Nottingham,TLF,Compensation_of_employees,8.345,8.820,8.926,9.126,9.405,9.959,10.342,9.687,9.941,10.122,10.588,11.526,11.209,12.040,12.388,13.688,14.115,14.894,15.293,16.165
E01013811,Nottingham 018B,E06000018,Nottingham,TLF,"Property_income,_received",1.192,1.089,1.172,1.278,1.237,1.443,1.336,1.037,1.078,1.121,1.086,1.144,1.147,1.359,1.158,1.219,1.217,1.293,1.111,1.492
E01013811,Nottingham 018B,E06000018,Nottingham,TLF,Primary_resources_total,12.174,12.536,12.636,13.114,13.503,14.164,14.484,13.396,13.614,13.864,14.701,15.872,15.694,16.953,17.300,18.996,19.641,20.660,21.084,22.558
E01013811,Nottingham 018B,E06000018,Nottingham,TLF,"Property_income,_paid",0.553,0.584,0.724,0.876,1.005,0.997,1.142,0.451,0.277,0.278,0.309,0.295,0.292,0.293,0.318,0.276,0.428,0.335,0.206,0.255
