lsoa_2011,mean_income,households,lsoa_2021,ward_2016,ward_2023,rate_benefits,imd_rank,imd_decile,fp_lilee,average_sap,sd_sap,imd_quintile,coeff_variation,sd_income,upper_bound
E01013810,24.173,643,E01013810,Arboretum,Hyson Green & Arboretum,8.5,"1,767",1,35.7,59.35213205,12.00790914,1,0.582906606,14.09060138,51.7905787
E01013811,22.592,526,E01013811,Arboretum,Hyson Green & Arboretum,8.5,"1,688",1,35.3,62.52496799,11.85450056,1,0.582906606,13.16902603,48.40329102
E01013812,22.957,554,E01013812,Arboretum,Hyson Green & Arboretum,8.5,"1,042",1,41.4,60.40501319,10.65817273,1,0.582906606,13.38178694,49.18530241
E01013813,15.186,578,E01013813,Arboretum,Hyson Green & Arboretum,8.5,"6,329",2,17.5,68.19107392,11.2889192,1,0.582906606,8.852019712,32.53595864
E01013814,25.569,715,E01013814,Arboretum,Hyson Green & Arboretum,8.5,"3,499",2,24.1,68.10122449,13.05573298,1,0.582906606,14.904339,54.78150444
E01013815,16.432,602,E01013815,Arboretum,Hyson Green & Arboretum,8.5,"3,805",2,42,59.08287293,13.39729799,1,0.582906606,9.578321342,35.20550983
E01013816,23.843,780,E01013816,Arboretum,Hyson Green & Arboretum,8.5,"13,429",5,21.9,72.75813296,11.8314203,3,0.555471692,13.24411155,49.80145864
E01013817,23.473,641,E01013817,Aspley,Aspley,12.8,594,1,28.7,67.42213115,11.08174831,1,0.582906606,13.68256675,50.29083083
E01013818,23.441,533,E01013818,Aspley,Aspley,12.8,265,1,30,66.96246246,7.153532338,1,0.582906606,13.66391374,50.22227093
E01013819,29.82,710,E01013819,Aspley,Aspley,12.8,"1,860",1,22.5,64.81358025,12.31030855,1,0.582906606,17.38227498,63.88925896
E01013820,27.014,648,E01013820,Aspley,Aspley,12.8,"1,432",1,27.8,62.9375,11.55814199,1,0.582906606,15.74663904,57.87741252
E01013821,26.299,630,E01013821,Aspley,Aspley,12.8,"1,197",1,26.7,62.85610465,12.14305525,1,0.582906606,15.32986082,56.34552721
E01013822,25.275,631,E01013822,Aspley,Aspley,12.8,"1,266",1,28.4,66.04591105,7.792987089,1,0.582906606,14.73296446,54.15161033
E01013823,28.393,641,E01013823,Aspley,Aspley,12.8,"3,496",2,23.5,56.1615245,10.46922975,1,0.582906606,16.55046725,60.83191581
E01013824,24.957,590,E01013824,Aspley,Aspley,12.8,"2,823",1,26.2,61.78491172,11.34997048,1,0.582906606,14.54760015,53.4702963
E01013825,30.95,692,E01013825,Aspley,Aspley,12.8,"2,787",1,23.9,61.80171184,11.42012246,1,0.582906606,18.04095944,66.31028051
