MSOA code,MSOA name,Local authority code,Local authority name,Region code,Region name,Net annual income before housing costs,Upper confidence limit,Lower confidence limit,Confidence interval
E02002868,Nottingham 001,E06000018,Nottingham,E12000004,East Midla,27500,30700,24500,6200
E02002869,Nottingham 002,E06000018,Nottingham,E12000004,East Midla,22500,25700,19700,6000
E02002871,Nottingham 004,E06000018,Nottingham,E12000004,East Midla,25000,28000,22300,5700
E02002872,Nottingham 005,E06000018,Nottingham,E12000004,East Midla,23800,27000,21000,6000
E02002873,Nottingham 006,E06000018,Nottingham,E12000004,East Midla,23400,26600,20600,6000
E02002874,Nottingham 007,E06000018,Nottingham,E12000004,East Midla,27200,30500,24200,6300
E02002875,Nottingham 008,E06000018,Nottingham,E12000004,East Midla,23500,26600,20800,5800
E02002876,Nottingham 009,E06000018,Nottingham,E12000004,East Midla,25800,28800,23100,5700
E02002877,Nottingham 010,E06000018,Nottingham,E12000004,East Midla,33000,37100,29300,7800
E02002878,Nottingham 011,E06000018,Nottingham,E12000004,East Midla,18800,22400,15800,6600
E02002879,Nottingham 012,E06000018,Nottingham,E12000004,East Midla,26200,29400,23300,6100
E02002880,Nottingham 013,E06000018,Nottingham,E12000004,East Midla,22200,25700,19200,6500
E02002881,Nottingham 014,E06000018,Nottingham,E12000004,East Midla,23300,26500,20500,6000
E02002882,Nottingham 015,E06000018,Nottingham,E12000004,East Midla,37500,42800,32800,10000
E02002883,Nottingham 016,E06000018,Nottingham,E12000004,East Midla,26100,29200,23300,5900
E02002884,Nottingham 017,E06000018,Nottingham,E12000004,East Midla,23800,26800,21200,5600
E02002885,Nottingham 018,E06000018,Nottingham,E12000004,East Midla,19200,22400,16400,6000
E02002886,Nottingham 019,E06000018,Nottingham,E12000004,East Midla,24700,28100,21700,6400
E02002887,Nottingham 020,E06000018,Nottingham,E12000004,East Midla,22700,25800,20000,5800
E02002888,Nottingham 021,E06000018,Nottingham,E12000004,East Midla,22100,25400,19200,6200
E02002889,Nottingham 022,E06000018,Nottingham,E12000004,East Midla,29500,36300,23900,12400
E02002890,Nottingham 023,E06000018,Nottingham,E12000004,East Midla,25900,29500,22700,6800
E02002891,Nottingham 024,E06000018,Nottingham,E12000004,East Midla,24200,27200,21500,5700
E02002892,Nottingham 025,E06000018,Nottingham,E12000004,East Midla,23800,26900,21000,5900
E02002893,Nottingham 026,E06000018,Nottingham,E12000004,East Midla,20900,24300,18000,6300
E02002894,Nottingham 027,E06000018,Nottingham,E12000004,East Midla,31100,34800,27800,7000
E02002895,Nottingham 028,E06000018,Nottingham,E12000004,East Midla,46100,56500,37700,18800
E02002896,Nottingham 029,E06000018,Nottingham,E12000004,East Midla,23100,26100,20500,5600
E02002897,Nottingham 030,E06000018,Nottingham,E12000004,East Midla,31600,35600,28100,7500
E02002898,Nottingham 031,E06000018,Nottingham,E12000004,East Midla,28200,32800,24200,8600
E02002899,Nottingham 032,E06000018,Nottingham,E12000004,East Midla,23400,26400,20700,5700
E02002901,Nottingham 034,E06000018,Nottingham,E12000004,East Midla,29700,33200,26500,6700
E02002902,Nottingham 035,E06000018,Nottingham,E12000004,East Midla,25000,28000,22300,5700
E02002903,Nottingham 036,E06000018,Nottingham,E12000004,East Midla,25500,28600,22700,5900
E02002904,Nottingham 037,E06000018,Nottingham,E12000004,East Midla,24000,27100,21200,5900
E02006834,Nottingham 038,E06000018,Nottingham,E12000004,East Midla,26500,30100,23200,6900
E02006904,Nottingham 039,E06000018,Nottingham,E12000004,East Midla,43600,53800,35400,18400
E02006905,Nottingham 040,E06000018,Nottingham,E12000004,East Midla,25900,29400,22700,6700
