lsoa_2021,desnz_lilee_prop
E01013810,0.346
E01013811,0.337
E01013812,0.395
E01013813,0.174
E01013814,0.24
E01013815,0.416
E01013816,0.216
E01013817,0.272
E01013818,0.297
E01013819,0.211
E01013820,0.263
E01013821,0.249
E01013822,0.278
E01013823,0.219
E01013824,0.243
E01013825,0.228
E01013826,0.29
E01013827,0.16
E01013828,0.179
E01013829,0.096
E01013830,0.123
E01013831,0.084
E01013832,0.169
E01013833,0.196
E01013834,0.206
E01013835,0.142
E01013836,0.197
E01013837,0.069
E01013838,0.133
E01013839,0.269
E01013840,0.113
E01013841,0.294
E01013842,0.357
E01013843,0.183
E01013844,0.334
E01013845,0.393
E01013846,0.312
E01013847,0.34
E01013849,0.155
E01013850,0.133
E01013851,0.151
E01013852,0.135
E01013853,0.13
E01013854,0.13
E01013855,0.234
E01013856,0.17
E01013858,0.152
E01013859,0.158
E01013860,0.159
E01013861,0.175
E01013862,0.153
E01013863,0.114
E01013864,0.129
E01013865,0.132
E01013866,0.144
E01013867,0.22
E01013868,0.203
E01013870,0.104
E01013871,0.134
E01013872,0.175
E01013873,0.314
E01013874,0.18
E01013875,0.067
E01013876,0.155
E01013877,0.181
E01013878,0.158
E01013879,0.214
E01013880,0.168
E01013881,0.16
E01013882,0.228
E01013883,0.112
E01013884,0.119
E01013885,0.247
E01013886,0.147
E01013887,0.077
E01013888,0.143
E01013889,0.095
E01013890,0.185
E01013891,0.145
E01013892,0.084
E01013893,0.11
E01013894,0.089
E01013895,0.08
E01013896,0.12
E01013897,0.137
E01013898,0.157
E01013899,0.115
E01013900,0.13
E01013901,0.073
E01013902,0.067
E01013903,0.109
E01013904,0.123
E01013905,0.138
E01013906,0.127
E01013907,0.135
E01013908,0.151
E01013909,0.113
E01013910,0.141
E01013911,0.124
E01013912,0.075
E01013913,0.133
E01013914,0.132
E01013915,0.124
E01013916,0.215
E01013917,0.216
E01013918,0.367
E01013919,0.339
E01013920,0.154
E01013921,0.336
E01013928,0.342
E01013929,0.113
E01013930,0.193
E01013931,0.112
E01013932,0.147
E01013933,0.258
E01013934,0.122
E01013935,0.132
E01013936,0.103
E01013937,0.15
E01013938,0.125
E01013939,0.131
E01013940,0.125
E01013941,0.151
E01013942,0.167
E01013943,0.214
E01013944,0.266
E01013945,0.324
E01013947,0.334
E01013948,0.124
E01013953,0.399
E01013954,0.166
E01013957,0.261
E01013958,0.169
E01013959,0.191
E01013960,0.169
E01013961,0.259
E01013962,0.164
E01013963,0.168
E01013964,0.146
E01013965,0.203
E01013966,0.217
E01013967,0.118
E01013968,0.102
E01013969,0.175
E01013970,0.162
E01013971,0.173
E01013972,0.205
E01013977,0.076
E01013978,0.138
E01013979,0.107
E01013980,0.076
E01013981,0.066
E01013982,0.094
E01013983,0.11
E01013984,0.089
E01013985,0.094
E01032520,0.101
E01032522,0.125
E01032621,0.149
E01033395,0.171
E01033396,0.192
E01033397,0.147
E01033398,0.096
E01033399,0.191
E01033400,0.13
E01033402,0.065
E01033407,0.113
E01033409,0.209
E01033410,0.344
E01033411,0.184
E01035500,0.159
E01035501,0.233
E01035502,0.538
E01035503,0.462
E01035504,0.292
E01035505,0.285
E01035506,0.127
E01035507,0.302
E01035508,0.307
